bienvenidos	Herzlich Willkommen
julio	Juli
agosto	August
septiembre	September
noviembre	November
diciembre	Dezember
simpatico/a	symphatisch
guapo/a	hŸbsch
lindo/a	hŸbsch
conocer	etw./jdn. kennen, kennen lernen
divertido/a	lustig, witzig
entonces	dann, also
hablar	sprechen
ahi	da, dort
perdonar	entschuldigen, verzeihen
el hermano	Bruder
la hermana	Schwester
alli	dort
el novio	fester Freund
la novia	feste Freundin
inteligente	intelligent
serio/a	ernst, serišs
nada	nichts
el vecino	Nachbar
la vecina	Nachbarin
el pesado	Langweiler
la pesada	Langweilerin
aburrido/a	langweilig
menos mal	zum GlŸck!
tonto/a	dumm
feo/a	hŠsslich
interesante	interessant
antipatico/a	unsymphatisch
un poco	ein wenig
el jefe	Chef
la jefa	Chefin
el saludo	Gru§
desde	aus, von
el hijo	Sohn
la hija	Tochter
la madre	Mutter
peque–o/a	klein
quŽ va	Ÿberhaupt nicht!
los paders	Eltern
joven	jung
el americano	Amerikaner
la americana	Amerikanerin
el perro	Hund
chatear	chatten
el latino	Lateinamerikaner
la latina	Lateinamerikanerin
abierto/a	offen, gešffnet
formal	formell, hšflich
timido/a	schŸchtern, zurŸckhaltend
sincero/a	aufrichtig, ehrlich
espontaneo/a	spontan
a veces	manchmal
impaciente	ungeduldig
la foto	Foto
solo/a	allein
el marido	Ehemann
el padre	Vater
la persona	Person
viejo/a	alt
casado/a	verheiratet
exigente	anspruchsvoll
pesado/a	schwer
malo/a	schlecht, krank
atractivo/a	attraktiv
la despedida de soltero/a	Junggesellenabschied
la despedida	Junggeselle/in
el jueves	Donnerstag
el pueblo	Dorf
la lista	Liste
el regalo	Geschenk
la semana	Woche
la procesi›n	Prozession
la independencia	UnabhŠngigkeit
ese/esa	diese/r/s
celebrar	feiern
como	da, weil
el santo	Heiliger
popular	beliebt, populŠr
la celebraci›n	Feier
antes de	vor
la boda	Hochzeit
la libertad	Freiheit
la forma	Form
la cena	Abendessen
el disfraz	Verkleidung
religioso/a	religišs
recordar	sich an etw. erinnern
la muerte	Tod
nacional	national
familiar	Familien, familiŠr
entre	zwischen, unter
la jirafa	Giraffe
paciente	geduldig
los deberes	Hausaufgaben
la edad	Alter
amable	freundlich
por fin	endlich
el fin	Ende
hacer	etw. tun, machen
escuchar	hšren, anhšren
descansar	sich ausruhen
el mensaje	Meldung, SMS
habar por telŽfono	telefonieren
cocinar	kochen
creer	glauben
la sopa	Suppe
los espaguetis	Spaghetti
el ex novio	Exfreund
la verdura	GemŸse
bonito/a	hŸbsch
cari–o	Schatz, Liebling
el dia a dia	Alltag
primero/a	erste/r/s
el invitado	Gast mŠnnl.
la invitada	Gast weibl.
la costa	KŸste
el banco	Bank
el sabado	Samstag
leer	lesen
limpiar	etw. sauber machen, putzen
rapido	schnell
hacer la compra	einkaufen
casi	fast
nunca	nie
por la tarde	nachmittags, am Nachmittag
el deporte	Sport
por la noche	abends, am Abend
salir	ausgehen, hinausgehen
muchas veces	oft
pasar	verbringen, passieren
el domingo	Sonntag
normalmente	normalerweise
alquilar	etw. mieten, ausleihen
junto/a	zusammen
el e-mail	E-Mail
el fot›grafo	Fotograf
el fot›grafa	Fotografin
trabajar por cuenta propia	selbststŠndig sein
el estrŽs	Stress
la excursi›n	Ausflug
el campo	Land, Feld
donde	wo
el grupo	Gruppe
ad›nde	wohin
ir	gehen, fahren
basta	genug, es reicht
la casualidad	Zufall
el lunes	Montag
lo siento	es tut mir leid
el teatro	Theater
el martes	Dienstag
cenar	zu Abend essen
el miŽrcoles	Mittwoch
ir de tiendas	einen Einkaufsbummel machen
ir a casa de 	zu jdm. gehen
el viernes	Freitag
el psic›logo	Psychologe
la psic›loga	Psychologin
nuevo/a	neu
el colegio	Schule
por la ma–ana	morgens, am Morgen
desayunar	frŸhstŸcken
sin	ohne
la prisa	Eile
el mediodia	Mittag
preparar	Turnhalle, Fitnessstudio
navegar en Internet	im Internet surfen
el jardin	Garten
la suerte	GlŸck
la inmigraci›n	Einwander
el inmigrante	Einwandererin
italiano/a	italienisch
por eso	daher
la parrilla	Grillrost, Grill
el patio	Innenhof, Hinterhof
la cosa	Sache, Ding
la ensalada	Salat
el postre	Nachtisch
algunos/as	einige, manche
todavia	noch
antiguo/a	at, antik
tomar el sol	sich sonnen
el lado	Seite
la plaza	Platz
lleno/a	voll
verde	grŸn
el recipiente	GefŠ§, BehŠlter
la idea	Idee
principal	hauptsŠchlich, Haupt-
compartir	etw. teilen
la urbanizaci›n	Siedlung
cerrado/a	geschlossen
la bicicleta	Fahrrad
jugar	spielen
charlar	plaudern
por quŽ	warum?
porque	weil
todo el mundo	alle
tranquilo/a	ruhig
el nieto	Enkel
la nieta	Enkelin
querer	lieben, wollen
un fuerte abrazo	ganz liebe GrŸ§e (im Brief)
el trafico	Verkehr
por ejemplo	zum Beispiel
si	ob, wenn
nadar	schwimmen
el ambiente	Stimmung, AtmosphŠre
la avenida	Allee
el coche	Auto
la envidia	Neid
imaginarse	sich etw. vorstellen
el sol	Sonne
el mar	Meer
pasear	spazieren gehen
la palmera	Palme
bailar	tanzen
quŽ pasa	was ist los?
de verdad	wirklich
la broma	Witz, Scherz
comentar	kommentieren
querido/a	liebe/r
el mill›n	Million
el habitante	Einwohner
la habitante	Einwohnerin
la atracci›n turistica	SehenswŸrdigkeit
turistico/a	touristisch
el edificio	GebŠude
el sur	SŸden
el centro hist›rico	Altstadt
el rio	Fluss
impresionante	eindrucksvoll
la torre	Turm
la Žpoca	Epoche
arabe	arabisch
moderno/a	modern
e	und
industrial	industriell, Industrie-
hasta pronto	Bis bald.
el barrio	Viertel
el color	Farbe
poco/a	wenig
estimado/a	sehr geehrte/r
atentamente	mit freundlichen GrŸ§en (im Brief)
la contaminaci›n	Verschmutzung
al este de	šstlich von
el este	Osten
estar a...kil›metros de	...Kilometer von...entfernt sein
oficial	offiziell
en el norte de	im Norden von
el norte	Norden
medio/a	halb
la fortificaci›n	Befestigungsanlage
activo/a	aktiv
el metro	U-Bahn
el puerto	Hafen
tipico/a	typisch
favorito/a	Lieblings-
hist›rico/a	historisch
lejos	weit weg
el oeste	Westen
el arte	Kunst
protegido/a	geschŸtzt

