bienvenidos	Herzlich Willkommen
el vecino	Nachbar
la vecina	Nachbarin
el pesado	Langweiler
la pesada	Langweilerin
aburrido/a	langweilig
menos mal	zum Glück!
tonto/a	dumm
feo/a	hässlich
interesante	interessant
antipático/a	unsymphatisch
un poco	ein wenig
el jefe	Chef
la jefa	Chefin
el saludo	Gruß
desde	aus, von
el hijo	Sohn
la hija	Tochter
la madre	Mutter
pequeño/a	klein
qué va	überhaupt nicht!
los paders	Eltern
joven	jung
el americano	Amerikaner
la americana	Amerikanerin
el perro	Hund
chatear	chatten
el latino	Lateinamerikaner
la latina	Lateinamerikanerin
abierto/a	offen, geöffnet
formal	formell, höflich
timido/a	schüchtern, zurückhaltend
sincero/a	aufrichtig, ehrlich
espontáneo/a	spontan
a veces	manchmal
impaciente	ungeduldig
la foto	Foto
solo/a	allein
el marido	Ehemann
el padre	Vater
la persona	Person
viejo/a	alt
casado/a	verheiratet
exigente	anspruchsvoll
pesado/a	schwer
malo/a	schlecht, krank
atractivo/a	attraktiv
la despedida de soltero/a	Junggesellenabschied
la despedida	Junggeselle/in
el jueves	Donnerstag
el pueblo	Dorf
la lista	Liste
el regalo	Geschenk
la semana	Woche
la procesión	Prozession
la independencia	Unabhängigkeit
ese/esa	diese/r/s
celebrar	feiern
como	da, weil
el santo	Heiliger
popular	beliebt, populär
la celebración	Feier
antes de	vor
la boda	Hochzeit
la libertad	Freiheit
la forma	Form
la cena	Abendessen
el disfraz	Verkleidung
religioso/a	religiös
recordar	sich an etw. erinnern
la muerte	Tod
nacional	national
familiar	Familien, familiär
entre	zwischen, unter
la jirafa	Giraffe
paciente	geduldig
los deberes	Hausaufgaben
la edad	Alter
amable	freundlich
por fin	endlich
el fin	Ende
hacer	etw. tun, machen
escuchar	hören, anhören
descansar	sich ausruhen
el mensaje	Meldung, SMS
habar por teléfono	telefonieren
cocinar	kochen
creer	glauben
la sopa	Suppe
los espaguetis	Spaghetti
el ex novio	Exfreund
la verdura	Gemüse
bonito/a	hübsch
cariño	Schatz, Liebling
el dia a dia	Alltag
primero/a	erste/r/s
el invitado	Gast männl.
la invitada	Gast weibl.
la costa	Küste
el banco	Bank
el sábado	Samstag
leer	lesen
limpiar	etw. sauber machen, putzen
rápido	schnell
hacer la compra	einkaufen
casi	fast
nunca	nie
por la tarde	nachmittags, am Nachmittag
el deporte	Sport
por la noche	abends, am Abend
salir	ausgehen, hinausgehen
muchas veces	oft
pasar	verbringen, passieren
el domingo	Sonntag
normalmente	normalerweise
alquilar	etw. mieten, ausleihen
junto/a	zusammen
el e-mail	E-Mail
el fotógrafo	Fotograf
el fotógrafa	Fotografin
trabajar por cuenta propia	selbstständig sein
el estrés	Stress
la excursión	Ausflug
el campo	Land, Feld
donde	wo
el grupo	Gruppe
adónde	wohin
ir	gehen, fahren
basta	genug, es reicht
la casualidad	Zufall
el lunes	Montag
lo siento	es tut mir leid
el teatro	Theater
el martes	Dienstag
cenar	zu Abend essen
el miércoles	Mittwoch
ir de tiendas	einen Einkaufsbummel machen
ir a casa de 	zu jdm. gehen
el viernes	Freitag
el psicólogo	Psychologe
la psicóloga	Psychologin
nuevo/a	neu
el colegio	Schule
por la mañana	morgens, am Morgen
desayunar	frühstücken
sin	ohne
la prisa	Eile
el mediodia	Mittag
preparar	Turnhalle, Fitnessstudio
navegar en Internet	im Internet surfen
el jardin	Garten
la suerte	Glück
la inmigración	Einwander
el inmigrante	Einwandererin
italiano/a	italienisch
por eso	daher
la parrilla	Grillrost, Grill
el patio	Innenhof, Hinterhof
la cosa	Sache, Ding
la ensalada	Salat
el postre	Nachtisch
algunos/as	einige, manche
todavia	noch
antiguo/a	at, antik
tomar el sol	sich sonnen
el lado	Seite
la plaza	Platz
lleno/a	voll
verde	grün
el recipiente	Gefäß, Behälter
la idea	Idee
principal	hauptsächlich, Haupt-
compartir	etw. teilen
la urbanización	Siedlung
cerrado/a	geschlossen
la bicicleta	Fahrrad
jugar	spielen
charlar	plaudern
por qué	warum?
porque	weil
todo el mundo	alle
tranquilo/a	ruhig
el nieto	Enkel
la nieta	Enkelin
querer	lieben, wollen
un fuerte abrazo	ganz liebe Grüße (im Brief)
el tráfico	Verkehr
por ejemplo	zum Beispiel
si	ob, wenn
nadar	schwimmen
el ambiente	Stimmung, Atmosphäre
la avenida	Allee
el coche	Auto
la envidia	Neid
imaginarse	sich etw. vorstellen
el sol	Sonne
el mar	Meer
pasear	spazieren gehen
la palmera	Palme
bailar	tanzen
qué pasa	was ist los?
de verdad	wirklich
la broma	Witz, Scherz
comentar	kommentieren
querido/a	liebe/r
el millón	Million
el habitante	Einwohner
la habitante	Einwohnerin
la atracción turistica	Sehenswürdigkeit
turistico/a	touristisch
el edificio	Gebäude
el sur	Süden
el centro histórico	Altstadt
el rio	Fluss
impresionante	eindrucksvoll
la torre	Turm
la época	Epoche
árabe	arabisch
moderno/a	modern
e	und
industrial	industriell, Industrie-
hasta pronto	Bis bald.
el barrio	Viertel
el color	Farbe
poco/a	wenig
estimado/a	sehr geehrte/r
atentamente	mit freundlichen Grüßen (im Brief)
la contaminación	Verschmutzung
al este de	östlich von
el este	Osten
estar a...kilómetros de	...Kilometer von...entfernt sein
oficial	offiziell
en el norte de	im Norden von
el norte	Norden
medio/a	halb
la fortificación	Befestigungsanlage
activo/a	aktiv
el metro	U-Bahn
el puerto	Hafen
tipico/a	typisch
favorito/a	Lieblings-
histórico/a	historisch
lejos	weit weg
el oeste	Westen
el arte	Kunst
protegido/a	geschützt

